1	what are bigos?	0	bigos --> dish type of dish --> [u'Stew']	0	bigos --> dish cuisine --> [u'Polish food']	0
108	who were wright brothers?	33	wright brothers --> organization founders --> [u'Wilbur Wright', u'Orville Wright']	0	wright brothers --> organization founders --> [u'Wilbur Wright', u'Orville Wright']	0
109	where is jason mraz from?	148	jason mraz --> person place of birth --> [u'Mechanicsville']	1	jason mraz --> person nationality --> [u'United States of America']	6
110	what to visit in atlanta?	11389	atlanta --> location contains --> [u'Oglethorpe University', u'Georgia Institute of Technology College of Engineering', u'Morris Brown College', u'Emory University', u'Georgia Institute of Technology']	116	atlanta --> hud county place place --> [u'Atlanta']	6322
111	where is roswell area 51?	684	roswell ufo incident --> event locations --> [u'Roswell']	14	roswell ufo incident --> event locations --> [u'Roswell']	14
112	who was esther's husband?	48	esther --> person place of birth --> [u'Susa']	3	esther --> book subject works --> [u'Finding Favor With the King', u'Book of Esther', u'Daily Inspiration for Finding Favor With the King']	13
113	where is chris rock from?	367	chris rock --> person place of birth --> [u'Andrews']	4	chris rock --> person nationality --> [u'United States of America']	2
114	what did st augustine do?	853	augustine of hippo --> person profession --> [u'Writer', u'Philosopher', u'Physician']	0	st. augustine --> location events --> [u'Siege of St. Augustine', u'Siege of St. Augustine']	3
116	what channel saints game?	322	channel football club --> sports team sport --> [u'Australian rules football']	0	english channel --> location contains --> [u'Guernsey', u'Wight', u'Isle of Wight', u'Channel Islands', u'Jersey']	99
117	where is chris paul from?	152	chris paul --> olympic medal honor country --> [u'United States of America']	0	chris paul --> person place of birth --> [u'Lewisville']	0
118	what is modern day judah?	8155	israel --> location contains major portion of --> [u'Jerusalem']	546	israel --> adjoining relationship adjoins --> [u'Egypt', u'Syria', u'Lebanon', u'Jordan', u'West Bank']	1818
119	what time in hilo hawaii?	229	hilo --> location time zones --> [u'Hawaii\u2013Aleutian Time Zone']	0	hilo --> location time zones --> [u'Hawaii\u2013Aleutian Time Zone']	0
120	who is sir francis bacon?	210	francis bacon --> person profession --> [u'Spy', u'Scientist', u'Author', u'Philosopher', u'Statesman']	0	francis bacon --> person parents --> [u'Nicholas Bacon', u'Anne Bacon']	4
121	when do world war ii end?	10847	world war ii --> computer game subject games --> [u'Blitzkrieg', u'Sudden Strike', u'Chain of Command', u'The Great Escape', u'Call Of Combat']	7	world war --> recurring event instances --> [u'World War II', u'World War I']	5
122	where did mary bell live?	3	mary bell --> person place of birth --> [u'Newcastle upon Tyne']	3	mary bell --> person place of birth --> [u'Newcastle upon Tyne']	3
123	who was carolus linnaeus?	98	carl linnaeus --> person profession --> [u'Scientist', u'Botanist', u'Physician', u'Biologist']	0	carl linnaeus --> person profession --> [u'Scientist', u'Botanist', u'Physician', u'Biologist']	0
125	who is the voice of kitt?	355	kitt --> regular tv appearance actor --> [u'Val Kilmer']	1	kitt --> performance actor --> [u'William Daniels']	6
126	where did cs lewis wrote?	571	c. s. lewis --> person place of birth --> [u'Belfast']	2	c. s. lewis --> deceased person place of death --> [u'Oxford']	6
127	what does bolivia border?	8961	bolivia --> adjoining relationship adjoins --> [u'Brazil', u'Argentina', u'Peru', u'Chile', u'Paraguay']	2706	bolivia --> adjoining relationship adjoins --> [u'Brazil', u'Argentina', u'Peru', u'Chile', u'Paraguay']	2706
128	what team did howie long?	43	howie long --> football historical roster position team --> [u'Oakland Raiders', u'Villanova Wildcats football']	4	howie long --> sports team roster team --> [u'Oakland Raiders', u'Villanova Wildcats football']	4
129	where is tennessee river?	136	tennessee river --> location partially containedby --> [u'Tennessee']	25	tennessee river --> river basin countries --> [u'United States of America']	16
130	where is burundi country?	1128	burundi --> location containedby --> [u'Africa']	12	burundi --> adjoining relationship adjoins --> [u'Tanzania', u'Democratic Republic of the Congo', u'Lake Tanganyika', u'Rwanda']	764
131	who did ben stiller date?	516	ben stiller --> marriage spouse --> [u'Christine Taylor']	14	ben stiller --> romantic relationship celebrity --> [u'Jeanne Tripplehorn', u'Janeane Garofalo', u'Amanda Peet', u'Calista Flockhart']	13
132	what war did hitler lose?	2657	adolf hitler --> military command military conflict --> [u'World War II', u'Case Blue', u'Operation Sea Lion', u'Operation Cockade', u'Western Allied invasion of Germany']	198	adolf hitler --> activist area of activism --> [u'Nazism', u'Anti-communism']	138
133	what money does cuba use?	6019	cuba --> country currency used --> [u'Cuban peso', u'Cuban convertible peso']	3	cuba --> country currency used --> [u'Cuban peso', u'Cuban convertible peso']	3
134	who was ulysses s. grant?	1479	EMPTY	0	ulysses s. grant --> author works written --> [u'Grant and Schurz on the South', u'The autobiography of General Ulysses. S. Grant', u"General Grant's Letters To A Friend, 1861-1880", u'The Civil War memoirs of Ulysses S. Grant', u'The Nicaragua canal']	3
135	who is richard pryor son?	186	richard pryor --> person children --> [u'Elizabeth Pryor', u'Rain Pryor', u'Kelsey Pryor', u'Franklin Pryor', u'Richard Pryor Jr.']	1	richard pryor --> award honor award winner --> [u'Lily Tomlin', u'David Bowie', u'Merle Haggard', u'Robert Johnson', u'James R. Stein']	9
136	where do john lennon die?	3625	john lennon --> artist track --> [u'Mother', u'Remember', u'Well Well Well', u'God', u'Mother']	0	john lennon --> deceased person place of death --> [u'New York City']	15
137	what did jesse owens won?	95	jesse owens --> award honor award --> [u'Associated Press Male Athlete of the Year']	0	jesse owens --> person profession --> [u'Athlete']	0
138	what book did tupac write?	250	tupac shakur --> author works written --> [u'Tupac', u'The Tupac Shakur Collection', u'The Rose That Grew from Concrete']	0	tupac shakur --> award nomination nominated for --> [u'Me Against the World', u'Changes', u'All Eyez on Me', u'California Love (album version)', u'California Love']	24
139	where is denmark situated?	6834	denmark --> location partially contains --> [u'Euroregion Baltic']	0	denmark --> country capital --> [u'Copenhagen']	1592
140	what country was slovakia?	4751	slovakia --> dated location break up broke up from --> [u'Czechoslovakia']	219	slovakia --> adjoining relationship adjoins --> [u'Hungary', u'Poland', u'Austria', u'Czech Republic', u'Ukraine']	1787
141	who's dating claire danes?	191	claire danes --> romantic relationship celebrity --> [u'Ben Lee', u'Hugh Dancy', u'Billy Crudup']	11	claire danes --> romantic relationship celebrity --> [u'Ben Lee', u'Hugh Dancy', u'Billy Crudup']	11
142	who is michael j fox wife?	2934	michael j. fox --> marriage spouse --> [u'Tracy Pollan']	0	michael jackson --> friendship participant --> [u'Madonna', u'Paul McCartney', u'Quincy Jones', u'Mila Kunis', u'Eddie Van Halen']	252
143	what team does jordan own?	4834	jordan --> sports team location teams --> [u'Jordan national football team', u'Al-Wehdat SC']	12	jordan --> adjoining relationship adjoins --> [u'Iraq', u'Saudi Arabia', u'Israel', u'Syria', u'West Bank']	1291
144	what happened at benghazi?	522	benghazi --> location events --> [u'2012 U.S. diplomatic missions attacks', u'First Battle of Benghazi', u'Second Battle of Benghazi', u'2012 U.S. Consulate attack in Benghazi']	2	benghazi --> location contains --> [u'Suluq', u'Al-Arab Medical University', u'Garyounis University', u'University of Libya', u'Libyan International Medical University']	4
145	who did paul revere marry?	39	paul revere --> person children --> [u'Isanna Revere', u'Bo Roberts Revere', u'Mary Revere', u'Mary Revere', u'John Revere']	0	paul revere --> person parents --> [u'Apollos Rivoire', u'Deborah Hitchborn']	0
146	where did kim jong il die?	24377	kim jong-il --> deceased person place of burial --> [u'Pyongyang', u'Kumsusan Palace of the Sun']	11	kim jong-il --> deceased person place of death --> [u'Pyongyang']	10
147	what city is mt lassen in?	19	lassen peak --> location containedby --> [u'California', u'North America', u'United States of America', u'Cascade Range', u'Shasta County']	15	lassen peak --> location containedby --> [u'California', u'North America', u'United States of America', u'Cascade Range', u'Shasta County']	15
148	who is shakira married to?	343	shakira --> marriage spouse --> [u'Antonio de la R\xfaa', u'Gerard Piqu\xe9']	0	shakira --> marriage spouse --> [u'Antonio de la R\xfaa', u'Gerard Piqu\xe9']	0
149	what is armenian currency?	0	EMPTY	0	currency --> book subject works --> [u'Intellectual capital revisited (and why we should care)', u'A Nation of Counterfeiters: Capitalists, Con Men, and the Making of the United States']	0
